10:15:26.265 - Lote de id product-batch_21-05-2025_09-56-30-332, tamanho 50000, inserido em 50 ms
10:15:26.650 - Lote de id product-batch_21-05-2025_09-56-30-673, tamanho 50000, inserido em 44 ms
10:15:27.040 - Lote de id product-batch_21-05-2025_09-56-31-012, tamanho 50000, inserido em 80 ms
10:15:27.439 - Lote de id product-batch_21-05-2025_09-56-31-348, tamanho 50000, inserido em 51 ms
10:15:27.904 - Lote de id product-batch_21-05-2025_09-56-31-651, tamanho 50000, inserido em 55 ms
10:15:28.251 - Lote de id product-batch_21-05-2025_09-56-31-987, tamanho 50000, inserido em 50 ms
10:15:28.605 - Lote de id product-batch_21-05-2025_09-56-32-320, tamanho 50000, inserido em 54 ms
10:15:28.951 - Lote de id product-batch_21-05-2025_09-56-32-629, tamanho 50000, inserido em 83 ms
10:15:29.270 - Lote de id product-batch_21-05-2025_09-56-32-934, tamanho 50000, inserido em 50 ms
10:15:29.633 - Lote de id product-batch_21-05-2025_09-56-33-221, tamanho 50000, inserido em 61 ms
10:15:29.986 - Lote de id product-batch_21-05-2025_09-56-33-594, tamanho 50000, inserido em 50 ms
10:15:30.364 - Lote de id product-batch_21-05-2025_09-56-33-992, tamanho 50000, inserido em 45 ms
10:15:30.720 - Lote de id product-batch_21-05-2025_09-56-34-310, tamanho 50000, inserido em 84 ms
10:15:31.061 - Lote de id product-batch_21-05-2025_09-56-34-702, tamanho 50000, inserido em 74 ms
